WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
S1994058,1994-04-29,"CESSNA 208 
CARAVAN",LINEAS AEREAS DE LOS LIBERTADORES,"TIERRA MORADA, NR. BOGOTA, CO",1,0,1,7,1,8
S1994078,1994-01-24,"CESSNA 425 
CORSAIR",AERO WEST,"LAKE CONSTANCE, NR. RORSCHACH, CH",1,0,1,4,0,4
S1994085,1994-09-15,COMMANDER 680T,JIMENEZ ALFONSO MEJIA,"MISSING, CO",2,0,2,4,0,4
S1994088,1994-10-02,COMMANDER 690B,SEAVIEW AIR,"175KM ENE OF  WILLIAMS,  NEW SOUTH WALES, AU",1,0,1,8,0,8
S1994096,1994-10-19,BEECH C90A KING AIR,MONO MAX AVIATION,"SAINT FLORENT AP.,  SAUMUR, FR",1,0,1,6,0,6
S1995003,1995-01-20,LET 410UVP TURBOLET,ABAKAN AVIA,"KRASNOYARSK AP.,  KRASNOYARSK, RU",2,0,2,1,11,17
S19950129,1995-12-22,"PBN BN-2A 
ISLANDER",ISLAND AIRWAYS PTY LTD.,"BAGASIN, PG",1,0,1,1,0,11
S1995015,1995-06-24,TUPOLEV TU-134A,HARKA AIR,"MURTALA MUHAMMED AP.,  LAGOS, NG",0,0,6,16,0,74
S19950164,1995-07-25,"PBN BN-2A 
ISLANDER",TRANSNIUGINI AIRLINES PTY. LTD.,"NR. KARAMUI,  CHIMBU, PG",1,0,1,1,0,1
S1995024,1995-09-21,ANTONOV AN-24RV,MIAT,"CHOHO GOELOGLOH UUL, NR. MORON, MN",6,0,6,35,1,36
S1995029,1995-12-05,TUPOLEV TU-134,AZERBAIJAN AIRLINES,"NR. NAHICEVAN, AZ",2,4,6,50,24,76
S1995030,1995-12-07,TUPOLEV TU-154B,FAR EAST AVIATION CORPORATION,"DZHAUS MOUNTAIN, 100KM NW OF  SOVETSKAYA GAVAN, RU",8,0,8,90,0,90
S1995031,1995-12-13,ANTONOV AN-24B,BANAT AIR TRANSPORT,"CALURI, NR. VERONA, IT",8,0,8,41,0,41
S1995052,1995-10-31,"CESSNA 208B 
GRAND CARAVAN",TACSA - TRANSPORTES AEREOS DE COAHILA,"NR. PIEDRAS NEGRAS,  COAHILA, MX",1,0,1,8,2,10
S1995066,1995-09-27,DHC-3 TURBO OTTER,WESTERN STRAITS AIR (GYNN BAY LOGGING LTD DBA),"NR. CAMPBELL RIVER,  BRITISH COLUMBIA, CA",1,0,1,7,2,9
S1995078,1995-01-28,BEECH 200 KING AIR,AVIACAO LIGEIRA,"NR. CAFUNFO, AO",0,2,2,2,2,4
S1995079,1995-10-21,BEECH 200 KING AIR,BALMORAL AIR SERVICE,"NR. MARUNGA, ZA",2,0,2,3,0,3
S1995125,1995-09-11,ANTONOV AN-26,ARIANA AFGHAN AIRLINES,"JALALABAD AP.,  JALALABAD, AF",0,0,7,3,0,44
S1996008,1996-05-03,ANTONOV AN-24RV,FEDERAL AIRLINES,"SHIGLA,  HAJ YOUSIF, SD",6,0,6,47,0,47
S1996013,1996-07-11,LET 410UVP TURBOLET,ARCHANA AIRWAYS,"NR. KANDA, 25KM FROM  KULU, IN",3,0,3,6,0,6
S1996016,1996-08-29,TUPOLEV TU-154M,VNUKOVO AIRLINES,"MT. OPERAFJELLET, NR. LONGYEARBYEN,  SPITZBERGEN, NO",11,0,11,130,0,130
S1996019,1996-10-26,YAKOVLEV YAK-40K,TYUMENAVIATRANS,"KHANTY-MANSIYSK AP.,  KHANTY-MANSIYSK, RU",3,0,4,2,6,30
S19960190,1996-01-08,"PBN BN-2A 
ISLANDER",MUSTIQUE AIRWAYS LTD.,"30KM SW OF  BRIDGETOWN, BB",0,0,1,1,0,9
S19960193,1996-05-11,"PBN BN-2A 
ISLANDER",MILNE BAY AIR,"NR. OUMBA, PG",0,1,1,1,1,9
S19960207,1996-06-21,HARBIN Y-12-II,CHINA FLYING DRAGON GENERAL AVIATION CO,"NR. CHANGHAI,  SHANDONG, CN",1,0,3,1,2,9
S1996044,1996-05-12,BEECH 300LW KING AIR,AIRLINK LUFTVERKEHRS,"NR. ST. OSWALD, AT",2,0,2,2,0,2
S1996052,1996-01-29,"CESSNA 208 
CARAVAN",SOUNDSAIR LTD,"MT. ROBERTSON, NR. BLENHEIM, NZ",0,1,1,5,0,5
S1996055,1996-08-18,DHC-3 TURBO OTTER,HARBOUR AIR,"34KM S OF  ALLIFORD BAY,  BRITISH COLUMBIA, CA",1,0,1,2,0,2
S1996056,1996-01-15,"PIPER PA-31T 
CHEYENNE II",SERVICIOS AEREOS AQP SA,"MT. CHACHANI, NR. AREQUIPA, PE",2,0,2,3,0,3
S1996099,1996-08-11,"MCKINNON G21G 
TURBO GOOSE",PENAIR,"VOLCANO BAY AREA, 33KM SW OF  DUTCH HARBOR,  ALASKA, US",1,0,1,1,0,1
S1996127,1996-01-15,MITSUBISHI MU-2B-36A,PRO AIR SERVICES,"NR. MALAD CITY,  IDAHO, US",2,0,2,6,0,6
S1997005,1997-03-18,ANTONOV AN-24RV,STAVROPOL AVIATION,"NR. CHERKESSK, RU",6,0,6,44,0,44
S1997012,1997-06-10,HARBIN Y-12-II,MONGOLIAN AIRLINES,"MANDALGOBI AP.,  MANDALGOBI, MN",0,0,2,7,3,10
S1997014,1997-07-11,ANTONOV AN-24RV,CUBANA,"IN SEA, OFF SANTIAGO DE CUBA, CU",5,0,5,39,0,39
S1997015,1997-09-03,TUPOLEV TU-134,VIETNAM AIRLINES,"POCHENTONG AP.,  PHNOM PENH, KH",6,0,6,59,1,60
S19970150,1997-12-31,"PBN BN-2A 
ISLANDER",PARSA SA,"NR. SAN BLAS, PA",1,0,1,9,0,9
S1997021,1997-12-16,TUPOLEV TU-154B,TAJIK AIR,"NR. SHARJAH, AE",8,1,9,77,0,77
S1997023,1997-12-17,YAKOVLEV YAK-42,LVOV AVIATION ENTERPRISES,"MT. PENTE PIRGI, 70KM SW OF  THESSALONIKI, GR",8,0,8,66,0,66
S1997024,1997-10-29,YAKOVLEV YAK-40,ARIANA AFGHAN AIRLINES,"JALALABAD AP.,  JALALABAD, AF",1,0,6,1,0,20
S1997034,1997-11-08,"CESSNA 208B 
GRAND CARAVAN",HAGELAND AVIATION SERVICES INC.,"NR. BARROW,  ALASKA, US",1,0,1,7,0,7
S1997035,1997-04-10,"CESSNA 208B 
GRAND CARAVAN",HAGELAND AVIATION SERVICES INC.,"CHUKCHI SEA, 8KM NW OF  WAINWRIGHT,  ALASKA, US",1,0,1,4,0,4
S1997036,1997-10-08,"CESSNA 208B 
GRAND CARAVAN",SCENIC AIRLINES INC.,"UNCOMPAHGRE PLATEAU, 38KM SW OF  MONTROSE,  COLORADO, US",1,0,1,8,0,8
S1997052,1997-12-21,BEECH A100 KING AIR,AVIATION CHARTER INC.,"MUNICIPAL AP.,  COLORADO SPRINGS,  COLORADO, US",1,0,1,1,1,2
S1997075,1997-10-09,BEECH 200 KING AIR,NAYSA AEROTAXIS,"KEBUJEH, NR. BANJUL, GM",2,0,2,6,1,7
S1997082,1997-08-29,"PILATUS PC6B2 
TURBO PORTER",SATENA,"NR. PUERTO INIRIDA, CO",2,0,2,7,0,7
S1998009,1998-05-26,HARBIN Y-12-II,MONGOLIAN AIRLINES,"NR. ERDENET, MN",2,0,2,26,0,26
S1998015,1998-08-29,TUPOLEV TU-154M,CUBANA,"MARISCAL SUCRE AP.,  QUITO, EC",14,0,14,58,10,76
S1998016,1998-09-29,ANTONOV AN-24RV,LIONAIR,"GULF OF  MANNAR, NR. JAFFNA, LK",6,0,6,49,0,49
S19980203,1998-12-07,"PBN BN-2A 
ISLANDER",AIR SATELLITE,"ST. LAWRENCE RIVER, NR. BAIE COMEAU,  QUEBEC, CA",1,1,2,6,2,8
S1998035,1998-09-02,ANTONOV AN-26,PERMTRANSAVIA-PM,"90KM NE OF  LUANDA, AO",4,0,4,20,0,20
S1998075,1998-06-26,BEECH 200 KING AIR,FEDERAL AVIATION,"NR. ABIDJAN, CI",2,0,2,5,0,5
S1998083,1998-11-06,BEECH 200 KING AIR,TAWAKEL AIRLINES,"NR. NAIROBI, KE",1,0,1,2,0,2
S1999002,1999-02-24,TUPOLEV TU-154M,CHINA SOUTHWEST AIRLINES,"RUIAN, NR. WENZHOU, CN",11,0,11,50,0,50
S1999014,1999-08-26,YAKOVLEV YAK-40,UZBEKISTAN AIRWAYS,"TURTKUL AP.,  TURTKUL, UZ",0,0,4,2,0,29
S1999019,1999-12-07,LET 410UVP TURBOLET,ASIAN SPIRIT,"NR. BAYOMBANG, PH",2,0,2,15,0,15
S1999020,1999-12-25,YAKOVLEV YAK-42,CUBANA,"MT SAN LUIS, NR. VALENCIA, VE",6,0,6,16,0,16
S19990207,1999-01-16,"PBN BN-2A 
ISLANDER",UZU AIR PTY,"COCONUT ISLAND,  QUEENSLAND, AU",1,0,1,2,1,3
S19990208,1999-02-03,"PBN BN-2A 
ISLANDER",AIRLINK,"30KM SW OF  HOSKINS, PG",1,0,1,10,0,10
S1999029,1999-07-20,"CESSNA 208B 
GRAND CARAVAN",LA COSTENA SA,"CERRO SILVA, 50KM W OF  BLUEFIELDS, NI",2,0,2,14,0,14
S1999041,1999-01-17,"CESSNA 208 
CARAVAN",NECON AIR,"JUMLA, NP",1,1,2,3,5,10
S1999059,1999-06-25,BEECH C90 KING AIR,AEROCENTER INC,"NR. MUNSON,  FLORIDA, US",1,0,1,1,0,1
S2000001,2000-01-15,LET 410UVP TURBOLET,TACSA- TAXI AERO CENTROAMERICANO,"PAVAS DISTRICT,  SAN JOSE, CR",1,2,3,4,11,15
S2000002,2000-03-09,YAKOVLEV YAK-40D,VOLOGDA AIR ENTERPRISE,"SHEREMETYEVO AP.,  MOSCOW, RU",5,0,5,4,0,4
S2000005,2000-04-19,ANTONOV AN-8,CENTRAFRICAN AIRLINES,"PEPA, CD",4,0,4,20,0,20
S2000007,2000-03-25,ANTONOV AN-32,URALEX,"HUAMBO AP.,  HUAMBO, AO",0,0,4,3,0,29
S2000009,2000-06-22,XIAN YUN-7-100,WUHAN AIR LINES,"SITAI, NR. WUHAN, CN",4,0,4,38,0,38
S2000015,2000-10-19,HARBIN Y-12-II,LAO AVIATION,"NR. XAM NEUA, LA",0,0,2,8,0,15
S2000018,2000-10-31,ANTONOV AN-26,AIR ANCARGO,"NR. SAURIMO, AO",5,0,5,39,0,39
S20000195,2000-11-15,ANTONOV AN-24RV,ASA PESADA,"LUANDA, AO",5,0,5,52,0,52
S2000027,2000-08-26,"CESSNA 208B 
GRAND CARAVAN",SANSA,"VOLCAN ARENAL, NR. LAGUNAS, CR",2,0,2,8,0,8
S2000034,2000-04-19,"CESSNA 208B 
GRAND CARAVAN",GALLOVENTS TEN (PTY) LTD,"KAHUZI-BIEGA NATIONAL PARK, NR. BUKAVU, CD",1,0,1,3,0,3
S2000048,2000-09-18,PIPER PA-31 T1040,CAPE SMYTHE AIR SERVICE,"NR. NUIQSUT,  ALASKA, US",1,0,1,4,5,9
S2000058,2000-03-21,BEECH C90A KING AIR,TEPE HAVA CILIK,"NR. BURSA, TR",0,1,1,1,2,4
S2000069,2000-09-04,BEECH 200 KING AIR,CENTRAL AIR PTY LTD.,"WERNADINGA STATION, 65KM ESE OF  BURKETOWN,  QUEENSLAND, AU",1,0,1,7,0,7
S2000089,2000-08-12,ANTONOV AN-26,SUCCES AIRLINES,"63KM NW OF  TSHIKAPA, CD",6,0,6,21,0,21
S2001006,2001-05-17,YAKOVLEV YAK-40,QESHM AIRLINES,"NR. SARI, IR",5,0,5,25,0,25
S2001009,2001-07-04,TUPOLEV TU-154M,VLADIVOSTOK AIR,"NR. IRKUTSK, RU",9,0,9,136,0,136
S2001015,2001-08-23,"ANTONOV (WSK-PZL MIELEC) AN-28
8",AGEFRECO AIR,"NR. BUKAVU, CD",2,0,2,5,4,9
S2001018,2001-09-12,LET 410UVP TURBOLET,AEROFERINCO,"NR. CHICHEN ITZA, MX",2,0,2,17,0,17
S2001022,2001-09-18,LET 410UVP TURBOLET,ATLANTIC AIRLINES (NICARAGUA),"LA AURORA AP.,  GUATEMALA CITY, GT",1,1,2,8,3,11
S2001023,2001-10-04,TUPOLEV TU-154M,SIBIR AIRLINES,"IN BLACK SEA, 180KM S OF  SOCHI, RU",12,0,12,66,0,66
S20010242,2001-12-26,"PBN BN-2B 
ISLANDER",BAL BREMERHAVEN AIRLINE,"RIVER WESER, NR. BREMERHAVEN, DE",1,0,1,7,1,8
S2001026,2001-11-19,ILYUSHIN IL-18,IRS AERO,"NR. KALYAZINA, RU",9,0,9,18,0,18
S2001027,2001-11-23,"ANTONOV (WSK-PZL MIELEC) AN-28
8",ENIMEX,"PALADE,  HIIUMAA ISLAND, EE",0,1,3,2,0,14
S2001030,2001-12-16,LET 410UVP TURBOLET,HELIANDES LTDA,"CERRO EL SILENCIO, NR. MEDELLIN, CO",2,0,2,14,0,14
S2001031,2001-12-14,LET 410A TURBOLET,EAGLE AIR,"NR. GETI, CD",2,0,2,4,0,4
S2001042,2001-11-28,"CESSNA 208B 
GRAND CARAVAN",SANSA,"CERRO SAN JERONIMO, 18KM NW OF  QUEPOS, CR",2,0,2,1,5,6
S2001057,2001-10-10,"CESSNA 208 
CARGOMASTER",PENAIR,"NR. DILLINGHAM,  ALASKA, US",1,0,1,9,0,9
S2002003,2002-02-12,TUPOLEV TU-154M,IRAN AIR TOURS,"SEFID KOUH MOUNTAINS, NR. KHORRAMABAD, IR",9,0,9,108,0,108
S2002016,2002-07-01,TUPOLEV TU-154M,BASHKIRIAN AIRLINES,"NR. UBERLINGEN, DE",12,0,12,57,0,57
S20020197,2002-12-14,"PBN BN-2A 
ISLANDER",ISLAND AIRWAYS PTY LTD.,"GUHU AIRSTRIP,  FINISTERRE MOUNTAINS, PG",1,0,1,7,0,7
S2002023,2002-08-29,"ANTONOV (WSK-PZL MIELEC) AN-28
8",VOSTOK AIRLINES,"NR. AYAN, RU",2,0,2,14,0,14
S20020238,2002-07-16,"PBN BN-2A 
ISLANDER",SABANG MERAUKE RAYA AIR CHARTER,"NR. BAWAN,  EAST KALIMANTAN, ID",2,0,2,7,1,8
S20020239,2002-11-07,"PBN BN-2A 
ISLANDER",DIRGANTARA AIR SERVICE,"NR. TARAKAN,  EAST KALIMANTAN, ID",1,0,1,6,3,9
S2002034,2002-12-23,ANTONOV AN-140,AEROMOST - KHARKOV AIRLINES,"AKBAM MOUNTAIN, NR. ISFAHAN, IR",3,0,3,41,0,41
S2002035,2002-12-27,LET 410UVP TURBOLET,OCEAN AIRLINES,"NR. OUANI,  ANJOUAN, KM",0,3,3,1,9,13
S2002063,2002-10-25,BEECH A100 KING AIR,AVIATION CHARTER INC,"NR. EVELETH,  MINNESOTA, US",2,0,2,6,0,6
S2003009,2003-05-26,YAKOVLEV YAK-42,UM AIR,"NR. MACKA, TR",13,0,13,62,0,62
S2003019,2003-08-24,LET 410UVP TURBOLET,TROPICAL AIRWAYS D'HAITI,"NR. CAP HAITIEN, HT",2,0,2,19,0,19
S2003050,2003-09-11,"CESSNA 208B 
GRAND CARAVAN",WASAYA AIRWAYS,"6KM W OF  SUMMER BEAVER,  ONTARIO, CA",1,0,1,7,0,7
S2003067,2003-12-16,DHC-3 TURBO OTTER,HURON AIR & OUTFITTERS INC,"JELLICOE,  ONTARIO, CA",1,0,1,1,1,2
S2004001,2004-01-13,YAKOVLEV YAK-40,UZBEKISTAN AIRWAYS,"VOSTOCHNY AP.,  TASHKENT, UZ",5,0,5,32,0,32
S2004016,2004-08-24,TUPOLEV TU-134A,VOLGA AVIAEXPRESS,"NR. BUCHALKI, RU",9,0,9,35,0,35
S2004017,2004-08-24,TUPOLEV TU-154B,SIBIR AIRLINES,"NR. MILLEROVO, RU",8,0,8,38,0,38
S2004041,2004-01-17,"CESSNA 208B 
GRAND CARGOMASTER",GEORGIAN EXPRESS,"LAKE ERIE, OFF PELEE ISLAND,  ONTARIO, CA",1,0,1,9,0,9
S2005006,2005-03-16,ANTONOV AN-24RV,REGIONAL AIRLINES,"NR. VARANDEI, RU",2,3,5,26,21,47
S2005008,2005-03-26,LET 410UVP TURBOLET,WEST CARIBBEAN AIRWAYS,"AGUADULCE,  ISLA DE PROVIDENCIA, CO",2,0,2,6,6,12
S2005017,2005-06-02,ANTONOV AN-24B,MARSLAND AVIATION,"KHARTOUM AP.,  KHARTOUM, SD",1,0,6,6,0,36
S2005019,2005-05-25,ANTONOV AN-12BP,AIR VICTORIA,"NEAR BITALE 10KM FRO BUNYAKIRI VILLAGE, CD",5,0,5,21,0,21
S2005022,2005-07-16,ANTONOV AN-24B,EQUATAIR,"NR. BANEY, 17KM FROM  MALABO, GQ",6,0,6,56,0,56
S2005034,2005-12-23,ANTONOV AN-140-100,AZERBAIJAN AIRLINES / AZAL AVIA,"NR. NARDARAN, AZ",5,0,5,18,0,18
S2005114,2005-10-04,ANTONOV AN-12BP,WDA - WIMBI DIRA AIRWAYS,"ARU AP., CD",0,0,0,2,11,0
S2006007,2006-03-31,LET 410UVP TURBOLET,TEAM,"PICO DE PEDRA BRANCA, NR. SAQUAREMA, BR",2,0,2,17,0,17
S2006018,2006-08-03,"ANTONOV (WSK-PZL MIELEC) AN-28
8",TRASEPT CONGO,"CIBATI HILLS, NR. BUKAVU, CD",3,0,3,14,0,14
S2006020,2006-08-22,TUPOLEV TU-154M,PULKOVO AVIATION ENTERPRISE,"45KM N OF  DONETSK, UA",10,0,10,160,0,160
S2006022,2006-09-01,TUPOLEV TU-154M,IRAN AIR TOURS,"SHAHID HASHEMI NEJAD INTL. AP.,  MASHHAD, IR",0,0,11,28,30,149
S2006042,2006-03-24,"CESSNA 208B 
GRAND CARAVAN",ATESA - AERO TAXIS ECUATORIANOS SA,"CUENCA, EC",0,2,2,5,7,12
S2006043,2006-01-21,"CESSNA 208B 
GRAND CARAVAN",REGENCY AIR CHARTER,"21KM SSE OF  PORT ALBERNI,  BRITISH COLUMBIA, CA",1,0,1,2,5,7
S2006065,2006-10-25,"CESSNA 425 
CORSAIR",SERVICES & TRANSPORTS AERIENS - STA,"TULEAR, MG",2,0,2,4,0,4
S2007001,2007-01-09,ANTONOV AN-26B,AERIANTUR-M AIRLINES,"BALAD, IQ",5,0,5,29,1,30
S2007003,2007-03-17,TUPOLEV TU-134A,UTAIR,"KURUMOCH AP.,  SAMARA, RU",0,0,7,6,30,50
S2007010,2007-06-25,ANTONOV AN-24B,PMT AIRLINES,"BOKOR MOUNTAIN, NR. SIHANOUKVILLE, KH",4,0,4,18,0,18
S2007011,2007-06-21,LET 410UVP TURBOLET,KARIBU AIRWAYS,"NR. KAMINA, CD",0,0,2,1,9,20
S2007023,2007-10-08,LET 410UVP TURBOLET,NACIONAL DE AVIACION COLOMBIA,"CERRO BRAVO, NR. CUBARRAL, CO",3,0,3,15,0,15
S2007074,2007-12-09,BEECH C90B KING AIR,FUN AIR,"KIEV, UA",2,0,2,3,0,3
S2008001,2008-01-04,LET 410UVP TURBOLET,TRANSAVEN,"IN CARIBBEAN SEA, OFF ISLA LOS ROQUES, VE",2,0,2,12,0,12
S2008007,2008-04-03,"ANTONOV (WSK-PZL MIELEC) AN-28
8",BLUE WING AIRLINES,"BENZDORP, SR",2,0,2,17,0,17
S20080254,2008-12-19,"PBN BN-2A 
ISLANDER",AIR VANUATU,"25KM SSE OF  LAJMOLI,  ESPIRITU SANTO, VU",1,0,1,1,2,9
S2008036,2008-01-19,BEECH B200 KING AIR,GIRA GLOBO LDA,"NR. HUAMBO, AO",2,0,2,11,0,11
S2008084,2008-08-24,"CESSNA 208 
CARAVAN",AEREO RUTA MAYA,"NR. CABANAS, GT",2,0,2,8,4,12
S2008132,2008-11-23,BEECH 200 KING AIR,TL AIR TAXI,"SAN MARTIN DISTRICT,  RECIFE, BR",1,0,2,1,1,8
S2008140,2008-12-03,COMMANDER 690B,WEBSTA'S AVIATION SERVIES INC,"EL YUNQUE NATIONAL FOREST, NR. SAN JUAN, PR",1,0,1,2,0,2
S2009062,2009-04-17,"PILATUS PC6B2 
TURBO PORTER",MIMIKA AIR,"MT. GERGAJI, NR. ILAGA, ID",2,0,2,9,0,9
S2009063,2009-04-17,"CESSNA 208B 
GRAND CARAVAN",LTA - LINEA TURISTICA AEREOTUY CA,"CANAIMA AP.,  CANAIMA, VE",0,0,2,1,3,9
S2009100,2009-07-15,TUPOLEV TU-154M,CASPIAN AIRLINES,"NR. JANNALABAD, 125KM W OF  TEHRAN, IR",15,0,15,153,0,153
S2009104,2009-07-24,ILYUSHIN IL-62M,ARIA AIR,"SHAHID HASHEMI NEJAD AP.,  MASHHAD, IR",8,2,17,8,1,152
S2010038,2010-05-15,"ANTONOV (WSK-PZL MIELEC) AN-28
8",BLUE WING AIRLINES,"NR. POKISI, SR",2,0,2,6,0,6
S2010039,2010-05-17,ANTONOV AN-24B,PAMIR AIRWAYS,"SALANG PASS, N OF  KABUL, AF",6,0,6,38,0,38
S2010047,2010-06-13,"CESSNA 208B 
GRAND CARAVAN",SERVICIOS AEREOS MILENIO SA DE CV,"NR. FELIPPE CARILLO PUERTO,  QUINTANA ROO, MX",2,0,2,7,0,7
S2010052,2010-06-23,BEECH A100 KING AIR,AEROPRO,"NR. JEAN LESAGE INTL. AP.,  QUEBEC CITY,  QUEBEC, CA",2,0,2,5,0,5
S2010059,2010-08-03,ANTONOV AN-24RV,KATEKAVIA,"IGARKA, RU",1,3,4,11,0,11
S2010072,2010-08-25,LET 410UVP TURBOLET,FILAIR,"BANDUNDU, CD",3,0,3,17,1,18
S2010107,2010-11-11,ANTONOV AN-24B,TARCO AIR,"ZALINGEI AIRSTRIP,  ZALINGEI, SD",0,0,6,2,0,36
S2010115,2010-12-04,TUPOLEV TU-154M,SE AIRLINES,"DOMODEDOVO AP.,  MOSCOW, RU",0,0,9,2,19,163
S2011001,2011-01-01,TUPOLEV TU-154B,KOLAVIA,"SURGUT INTL. AP.,  SURGUT, RU",0,5,8,3,27,126
S2011007,2011-01-14,BEECH 200 KING AIR,CIELO TAXI AEREO,"MORRO SANTO ANTONIO, NR. SENADOR CANEDO, BR",2,0,2,4,0,4
S2011018,2011-02-14,LET 410UVP TURBOLET,CENTRAL AMERICAN AIRWAYS,"CERRO DE HULA, NR. LES MESITAS, HN",2,0,2,12,0,12
S2011057,2011-05-07,CAIC MA60,MERPATI NUSANTARA AIRLINES,"IN SEA, OFF KAIMANA, ID",4,0,4,21,0,21
S2011081,2011-06-20,TUPOLEV TU-134A,RUSAIR,"PETROZAVODSK, RU",8,1,9,39,4,43
S2011090,2011-07-04,"CESSNA 208B 
GRAND CARAVAN",MISSINIPPI AIRWAYS,"PUKATAWAGAN AP.,  PUKATAWAGAN,  MANITOBA, CA",0,0,1,1,0,8
S2011092,2011-07-11,ANTONOV AN-24RV,ANGARA AIRLINES,"OB RIVER, NR. STREZHEVOY, RU",0,0,4,7,10,33
S2011096,2011-07-13,LET 410UVP TURBOLET,NOAR LINHAS AEREAS,"RECIFE, BR",2,0,2,14,0,14
S2011126,2011-09-22,"PILATUS PC6B2 
TURBO PORTER",YAJASI AVIATION,"NR. PASALEI,  YALIMO REGENCY, ID",1,0,1,2,0,2
S2011132,2011-10-04,"CESSNA 208B 
GRAND CARAVAN",AIR TINDI,"PEHTEI PENINSULA, 49KM W OF  LUTSEL K'E,  NORTHWEST TERRITORIES, CA",1,0,1,1,2,3
S2011135,2011-10-14,"CESSNA 208B 
GRAND CARAVAN",MOREMI AIR SERVICES,"XAKANAKA AIRSTRIP, 140KM FROM  MAUN, BW",1,0,1,8,0,11
S2011167,2011-09-07,YAKOVLEV YAK-42,YAK SERVICE,"NR. TUNOSHNA AP.,  YAROSLAVL, RU",7,1,8,37,0,37
S2011171,2011-12-17,PACIFIC AEROSPACE 750XL,ASSOCIATED MISSION AVIATION,"ABMISBIL AP.,  ABMISBIL,  PAPUA, ID",1,0,1,2,2,4
S20120139,2012-10-07,"PBN BN-2A 
ISLANDER",MONTSERRAT AIRWAYS,"V C BIRD INTL. AP.,  ST. JOHN'S, AG",1,0,1,2,1,3
S2012087,2012-08-19,ANTONOV AN-26-100,ALFA AIRLINES,"NR. TALODI, SD",6,0,6,26,0,26
S2012089,2012-08-22,LET 410UVP TURBOLET,MOMBASA AIR SAFARI,"MASAI MARA GAME RESERVE, NGERENDE AIRSTRIP, KE",2,0,2,2,3,11
S2012094,2012-09-12,"ANTONOV (WSK-PZL MIELEC) AN-28
8",PETROPAVLOVSK-KAMCHATSKY AIR ENTERPRISE,"MT. PYATIBRATKA, NR. PALANA,  KAMCHATKA KRAI, RU",2,0,2,8,4,12
S20130001,2013-01-04,"PBN BN-2 
ISLANDER",CHAPI AIR,"MISSING, VE",2,0,2,4,0,4
S20130023,2013-02-13,ANTONOV AN-24RV,SOUTH AIRLINES,"SERGEI PROKOFIEV AP.,  DONETSK, UA",0,0,8,5,9,44
S20130028,2013-03-06,BEECH B200 KING AIR,ATSA - AERO TRANSPORTE SA,"NR. MATIBAMBA, PE",2,0,2,7,0,7
S20130030,2013-03-12,"NEIVA NE-821 
CARAJA (PIPER PA-31)",FRETAX TAXI AEREO,"MONTE DOURADO,  PARA, BR",1,0,1,9,0,9
S20130081,2013-07-07,DHC-3 TURBO OTTER,REDISKE AIR INC,"SOLDOTNA AP.,  SOLDOTNA,  ALASKA, US",1,0,1,9,0,9
S20130123,2013-10-14,"CESSNA 208B 
GRAND CARAVAN",AEREO SERVICIO GUERRERO SA DE CV,"SIERRA DE LA GIGANTA MOUNTAINS, 30KM NW OF  LORETO, MX",1,0,1,11,0,11
S20130147,2013-11-29,"CESSNA 208B 
GRAND CARAVAN",HAGELAND AVIATION SERVICES,"ST. MARY'S,  ALASKA, US",1,0,1,3,6,9
S20130148,2013-11-25,"CESSNA 208B 
GRAND CARAVAN",TROPICAIR LTD,"PALBUNA RIVER, NR. KIBENI, PG",0,0,1,3,0,9
S20130152,2013-12-11,"CESSNA 208B 
GRAND CARAVAN",MAKANI KAI AIR CHARTERS,"PACIFIC OCEAN, OFF KALAUPAPA,  HAWAII, US",0,1,1,1,2,8
S20140028,2014-04-09,QUEST KODIAK,ADVENTIST AVIATION (INDONESIA),"DOYO BARU AIRSTRIP,  JAYAPURA,  PAPUA, ID",1,0,1,1,5,6
S20140060,2014-08-10,ANTONOV AN-140-100,SEPAHAN AIRLINES,"AZADI DISTRICT,  TEHRAN, IR",6,0,6,42,0,42
S20150029,2015-03-19,BEECH B90 KING AIR,AVIAJET SA,"LAGUNA DEL SAUCE, NR. PUNTA DEL ESTE,  MALDONADO DEPARTMENT, UY",2,0,2,8,0,8
S20150033,2015-01-20,ANTONOV AN-2 (PISTON),OLIMP AIR,"NR. CHOKPAR, KZ",3,0,3,3,1,4
S20150069,2015-06-25,DHC-3 TURBO OTTER,PROMECH AIR,"ELLA LAKE, 45KM NE OF  KETCHIKAN,  ALASKA, US",1,0,1,8,0,8
S20150118,2015-08-12,PACIFIC AEROSPACE 750XL,KOMALA INDONESIA,"NINIA AIRSTRIP,  NINIA,  PAPUA, ID",0,1,1,1,4,5
S20160044,2016-04-01,"CESSNA 208B 
GRAND CARAVAN",AEROSERVICIOS EMPRESARIALES SA DE CV,"15KM FROM  TAYOLTITA,  DURANGO, MX",0,1,1,3,4,9
S20160048,2016-04-13,"PBN BN-2T 
TURBINE ISLANDER",SUNBIRD AVIATION,"NR. KIUNGA, PG",1,0,1,11,0,11
S20160102,2016-07-20,"CESSNA 208B 
GRAND CARAVAN EX",JOY AIR GENERAL AVIATION CO,"JINSHAN WATER AERODROME,  SHANGHAI,  SHANGHAI, CN",1,1,2,4,2,8
