WAAS Subset Event Id,Local Event Date,Aircraft,Aircraft Operator,Event Location,Crew Fatalities,Crew Injured,Crew Aboard,PAX Fatalities,PAX Injuries,PAX Aboard
T2012019,2012-04-08,"DHC-6 TWIN OTTER 
300",TRIGANA AIR,"MULIA AP.,  MULIA,  PAPUA, ID",0,2,2,1,2,6
T2012027,2012-05-14,DORNIER 228-200,AGNI AIR,"JOMSOM, NP",2,1,3,13,5,18
T2012058,2012-09-28,DORNIER 228-200,SITA AIR,"MADHYAPUR THIMI DISTRICT,  KATHMANDU, NP",3,0,3,16,0,16
T20130039,2013-10-03,"EMBRAER EMB-120 
BRASILIA",ASSOCIATED AVIATION,"MURTALA MUHAMMED AP.,  LAGOS, NG",4,0,4,11,5,16
T20130042,2013-10-10,"DHC-6 TWIN OTTER 
300",MASWINGS,"KUDAT AP.,  KUDAT, MY",1,1,2,1,3,14
T20130043,2013-10-16,ATR-72-600,LAO AIRLINES,"MEKONG RIVER, NR. PAKSE, LA",5,0,5,44,0,44
T20130049,2013-11-03,"FAIRCHILD SA-227AC 
METRO III",AEROCON,"GENERAL BUECH AP.,  RIBERALTA, BO",0,2,2,8,1,16
T20130050,2013-11-10,"FAIRCHILD SA-227AC 
METRO III",BEARSKIN AIRLINES,"RED LAKE AP.,  RED LAKE,  ONTARIO, CA",2,0,2,3,0,5
T20140012,2014-02-16,"DHC-6 TWIN OTTER 
300",NEPAL AIRLINES,"MASINE LEK, NR. KHIDIM, NP",3,0,3,15,0,15
T20140034,2014-07-23,ATR-72-500,TRANSASIA AIRWAYS,"XIXI VILLAGE,  HUHSI TOWNSHIP, TW",4,0,4,44,10,54
T20140046,2014-09-20,"DHC-6 TWIN OTTER 
300",HEVILIFT LTD,"MOUNT LAWES, NR. PORT MORESBY,  CENTRAL PROVINCE, PG",2,0,2,2,5,7
T20150004,2015-02-04,ATR-72-600,TRANSASIA AIRWAYS,"KEELUNG RIVER,  TAIPEI, TW",4,1,5,39,13,53
T20150043,2015-08-16,ATR-42-300,TRIGANA AIR,"MOUNT TANGGO, 19KM NW OF  OKSIBIL,  PAPUA, ID",5,0,5,49,0,49
T20150057,2015-10-02,"DHC-6 TWIN OTTER 
300",AVIASTAR MANDIRI,"GUNUNG BAJAJA, 100KM SSW OF  MASAMBA,  SOUTH SULAWESI, ID",2,0,2,8,0,8
T20160005,2016-02-24,"DHC-6 TWIN OTTER 
400 (VIKING)",TARA AIR,"RUPSE CHHAHARI, NP",3,0,3,20,0,20
